step,telescope_perplexity,telescope_cross_perplexity,causal_perplexity,performer_model_entropy,observer_model_entropy,entropy_ratio,kl_divergence,performer_total_variation_distance,observer_total_variation_distance,performer_distribution_overlap,observer_distribution_overlap,performer_logits_std,observer_logits_std,shifted1_telescope_perplexity,shifted1_telescope_cross_perplexity,shifted2_telescope_perplexity,shifted2_telescope_cross_perplexity,shifted3_telescope_perplexity,shifted3_telescope_cross_perplexity
13900.0,[9.1640625],[3.79296875],4.1640625,,,,,0.8165983557701111,0.8165983557701111,0.18352971971035004,0.18352971971035004,0.001934051513671875,0.001934051513671875,191.25,,inf,,inf,
14000.0,[10.1953125],[3.158203125],3.01171875,,,,,0.6998966932296753,0.6998966932296753,0.3001033067703247,0.3001033067703247,0.002361297607421875,0.002361297607421875,254.625,,inf,,inf,
14100.0,[10.109375],[3.4765625],3.59375,,,,,0.7819767594337463,0.7819767594337463,0.21802325546741486,0.21802325546741486,0.00209808349609375,0.00209808349609375,523.0,,inf,,inf,
14200.0,[8.4921875],[3.9453125],4.39453125,,,,,0.7884114384651184,0.7884114384651184,0.2117512971162796,0.2117512971162796,0.0019931793212890625,0.0019931793212890625,26.9375,,36.03125,,28.71875,
14300.0,[9.796875],[3.37109375],3.87890625,,,,,0.7582465410232544,0.7582465410232544,0.2419704794883728,0.2419704794883728,0.0024738311767578125,0.0024738311767578125,inf,,inf,,inf,
14400.0,[9.4375],[3.185546875],3.546875,,,,,0.8075181245803833,0.8075181245803833,0.1924818903207779,0.1924818903207779,0.00213623046875,0.00213623046875,151.5,,431.75,,inf,
14500.0,[10.109375],[3.28125],3.30859375,,,,,0.7570512890815735,0.7570512890815735,0.2429487109184265,0.2429487109184265,0.0023136138916015625,0.0023136138916015625,inf,,inf,,inf,
14600.0,[10.2421875],[3.373046875],3.658203125,,,,,0.760869562625885,0.760869562625885,0.239130437374115,0.239130437374115,0.0022716522216796875,0.0022716522216796875,inf,,inf,,inf,
14700.0,[9.09375],[3.318359375],3.923828125,,,,,0.7997159361839294,0.7997159361839294,0.20010653138160706,0.20010653138160706,0.002231597900390625,0.002231597900390625,248.0,,inf,,inf,
14800.0,[10.96875],[2.962890625],3.26953125,,,,,0.7175324559211731,0.7175324559211731,0.28214284777641296,0.28214284777641296,0.0024566650390625,0.0024566650390625,1200.0,,inf,,inf,
14900.0,[10.8203125],[2.888671875],3.060546875,,,,,0.678947389125824,0.678947389125824,0.3210526406764984,0.3210526406764984,0.002513885498046875,0.002513885498046875,230.625,,inf,,inf,
15000.0,[8.3359375],[3.5546875],4.4296875,,,,,0.8427419066429138,0.8427419066429138,0.1572580635547638,0.1572580635547638,0.0021228790283203125,0.0021228790283203125,58.1875,,75.9375,,82.375,
15400.0,[8.8203125],[3.873046875],4.28515625,,,,,0.8177340030670166,0.8177340030670166,0.18211206793785095,0.18211206793785095,0.0019969940185546875,0.0019969940185546875,775.5,,inf,,inf,
15500.0,[9.75],[3.5546875],3.6015625,,,,,0.7682926654815674,0.7682926654815674,0.23170731961727142,0.23170731961727142,0.00215911865234375,0.00215911865234375,1371.0,,inf,,inf,
15700.0,[9.9609375],[3.62109375],4.05078125,,,,,0.7659883499145508,0.7659883499145508,0.23364825546741486,0.23364825546741486,0.0021800994873046875,0.0021800994873046875,589.0,,inf,,inf,
15800.0,[8.6484375],[2.537109375],2.572265625,,,,,0.6373106241226196,0.6373106241226196,0.36268940567970276,0.36268940567970276,0.002689361572265625,0.002689361572265625,287.5,,inf,,inf,
15900.0,[8.8125],[2.94921875],2.876953125,,,,,0.6631944179534912,0.6631944179534912,0.33651620149612427,0.33651620149612427,0.0025997161865234375,0.0025997161865234375,513.0,,inf,,inf,
16000.0,[10.2578125],[3.515625],3.77734375,,,,,0.7703900933265686,0.7703900933265686,0.22960993647575378,0.22960993647575378,0.002216339111328125,0.002216339111328125,442.0,,inf,,inf,
16300.0,[10.203125],[3.791015625],3.984375,,,,,0.787224292755127,0.787224292755127,0.212890625,0.212890625,0.002147674560546875,0.002147674560546875,443.25,,inf,,inf,
16400.0,[9.7890625],[3.48828125],3.572265625,,,,,0.7378318309783936,0.7378318309783936,0.26216813921928406,0.26216813921928406,0.0023021697998046875,0.0023021697998046875,311.25,,inf,,inf,
16600.0,[10.6015625],[3.546875],3.470703125,,,,,0.7661764621734619,0.7661764621734619,0.2338235229253769,0.2338235229253769,0.0021152496337890625,0.0021152496337890625,496.75,,inf,,inf,
16700.0,[9.9140625],[3.75],4.1796875,,,,,0.7784482836723328,0.7784482836723328,0.22155173122882843,0.22155173122882843,0.0021915435791015625,0.0021915435791015625,inf,,inf,,inf,
16800.0,[9.140625],[3.982421875],3.892578125,,,,,0.7929487228393555,0.7929487228393555,0.2068910300731659,0.2068910300731659,0.002017974853515625,0.002017974853515625,637.0,,inf,,inf,
17200.0,[11.171875],[3.09765625],3.091796875,,,,,0.6669884324073792,0.6669884324073792,0.3327702581882477,0.3327702581882477,0.0025196075439453125,0.0025196075439453125,716.0,,inf,,inf,
17400.0,[10.890625],[3.23828125],3.41796875,,,,,0.7681962251663208,0.7681962251663208,0.2318038046360016,0.2318038046360016,0.0022735595703125,0.0022735595703125,432.0,,inf,,inf,
17500.0,[10.0078125],[3.703125],3.703125,,,,,0.815664529800415,0.815664529800415,0.18473100662231445,0.18473100662231445,0.0019273757934570312,0.0019273757934570312,209.375,,512.0,,571.5,
17600.0,[8.703125],[3.5],3.611328125,,,,,0.7903439402580261,0.7903439402580261,0.20965608954429626,0.20965608954429626,0.0020904541015625,0.0020904541015625,626.0,,inf,,inf,
17900.0,[11.140625],[2.806640625],2.8125,,,,,0.6668046116828918,0.6668046116828918,0.3329884111881256,0.3329884111881256,0.0025539398193359375,0.0025539398193359375,352.25,,inf,,inf,
18000.0,[10.1015625],[3.251953125],3.43359375,,,,,0.7738487124443054,0.7738487124443054,0.22615131735801697,0.22615131735801697,0.00218963623046875,0.00218963623046875,445.25,,inf,,inf,
